Table,C/semester,off days,total sessions,Average unit load,sess/popday,Sess/day,Session Coef,number of breaks,total breaks,Length of breaks,Number of Blocks,Blocks/day,Block/pday,Avergae Block size,Largest Block,Norm Block,Early Sessions,Late Sessions,Late Days,Late/day,Combined Score,Intuitive rating,Rating,Score based Rating
ISMS_24_2_400_321,6,1,14,2.333333333,3.5,2.8,1.25,2,5,"2,3",6,1.2,1.5,2.333333333,3,0.0625,2,2,2,1,,Good-N,1,
MSCM_21_1_100,9,0,21,2.333333333,4.2,4.2,1,3,5,"1,3,1",8,1.6,1.6,2.625,4,0.25,4,2,1,2,,Bad-N,0,
MSCM_22_2_100,9,0,20,2.222222222,4,4,1,4,11,"5,4,1,1",9,1.8,1.8,2.222222222,4,0.25,4,5,3,1.666666667,,Bad-N,0,
MSCM_22_2_200,10,0,23,2.3,4.6,4.6,1,4,6,"1,2,2,1",9,1.8,1.8,2.555555556,4,0.25,4,3,2,1.5,,Good,1,
MSCM_22_2_300,6,1,14,2.333333333,3.5,2.8,1.25,2,2,"1,1",6,1.2,1.5,2.333333333,3,0.0625,0,3,3,1,,Good,1,
MSCM_22_2_300_1,7,1,16,2.285714286,4,3.2,1.25,3,3,"1,1,1",7,1.4,1.75,2.285714286,3,0.0625,0,3,3,1,,Good,1,
MSCM_22_2_400,4,2,9,2.25,3,1.8,1.666666667,0,0,0,3,0.6,1,3,4,0.25,1,0,0,0,,Good-N,1,
MSCM_24_2_100,7,0,15,2.142857143,3,3,1,2,7,"4,3",6,1.2,1.2,2.5,4,0.25,3,4,2,2,,Bad-N,0,
MSCM_24_2_200,10,0,23,2.3,4.6,4.6,1,3,4,"1,1,2",8,1.6,1.6,2.875,4,0.25,5,3,2,1.5,,Good,1,
MSCM_24_2_300,6,1,14,2.333333333,3.5,2.8,1.25,1,1,1,5,1,1.25,2.8,4,0.25,3,2,2,1,,Bad-N,0,
MSCM_24_2_300_1,7,0,16,2.285714286,3.2,3.2,1,1,1,1,6,1.2,1.2,2.666666667,4,0.25,3,2,2,1,,Bad-N,0,
MSCM_24_2_400,4,2,9,2.25,3,1.8,1.666666667,1,1,1,4,0.8,1.333333333,2.25,3,0.0625,1,0,0,0,,Good,1,
